PLAYER,GAME_DATE,W_L,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Stephen Curry,4/12/17,W,28,20,6,17,35.3,5,14,35.7,3,4,75,0,5,5,8,2,0,6,1,27
Stephen Curry,4/10/17,L,30,28,9,16,56.3,6,8,75,4,5,80,1,3,4,4,1,0,1,1,9
Stephen Curry,4/5/17,W,35,42,15,25,60,8,12,66.7,4,7,57.1,0,4,4,11,2,2,3,0,25
Stephen Curry,4/4/17,W,30,19,7,18,38.9,3,8,37.5,2,4,50,0,3,3,9,3,2,3,2,13
Stephen Curry,4/2/17,W,36,42,15,22,68.2,9,14,64.3,3,3,100,0,1,1,8,1,0,1,3,26
Stephen Curry,3/31/17,W,35,24,8,18,44.4,4,9,44.4,4,5,80,3,4,7,5,2,0,2,4,14
Stephen Curry,3/29/17,W,35,29,9,20,45,4,8,50,7,7,100,1,3,4,11,1,0,2,5,6
Stephen Curry,3/28/17,W,33,32,11,22,50,3,11,27.3,7,10,70,2,8,10,7,2,0,6,5,9
Stephen Curry,3/26/17,W,36,21,8,18,44.4,5,12,41.7,0,0,-,0,1,1,11,4,0,5,1,8
Stephen Curry,3/24/17,W,33,27,9,18,50,5,11,45.5,4,4,100,1,6,7,12,6,0,3,0,28
Stephen Curry,3/21/17,W,30,17,7,14,50,3,9,33.3,0,0,-,1,4,5,9,2,0,0,1,14
Stephen Curry,3/20/17,W,30,23,8,17,47.1,7,12,58.3,0,0,-,0,4,4,6,0,0,5,3,16
Stephen Curry,3/18/17,W,30,28,9,13,69.2,6,8,75,4,4,100,0,4,4,4,1,1,3,3,18
Stephen Curry,3/16/17,W,28,25,8,15,53.3,2,7,28.6,7,7,100,0,1,1,9,3,0,2,1,24
Stephen Curry,3/14/17,W,37,29,8,23,34.8,5,13,38.5,8,8,100,2,4,6,5,3,0,5,3,3
Stephen Curry,3/10/17,L,35,26,10,27,37,1,8,12.5,5,5,100,3,3,6,7,1,0,6,4,-5
Stephen Curry,3/8/17,L,35,23,8,16,50,2,9,22.2,5,5,100,3,2,5,6,0,1,4,4,-3
Stephen Curry,3/6/17,W,35,24,8,20,40,6,15,40,2,3,66.7,1,3,4,9,0,0,2,4,5
Stephen Curry,3/5/17,W,37,31,11,24,45.8,5,13,38.5,4,6,66.7,2,6,8,6,2,0,2,2,22
Stephen Curry,3/2/17,L,35,23,10,27,37,2,11,18.2,1,1,100,1,5,6,5,5,0,4,4,-4
Stephen Curry,2/28/17,L,34,25,9,20,45,2,9,22.2,5,6,83.3,4,3,7,4,2,0,5,3,-5
Stephen Curry,2/27/17,W,35,19,7,23,30.4,0,11,0,5,5,100,2,2,4,6,2,0,4,2,8
Stephen Curry,2/25/17,W,35,27,9,21,42.9,5,10,50,4,4,100,1,4,5,5,3,0,4,2,17
Stephen Curry,2/23/17,W,32,35,10,16,62.5,6,10,60,9,10,90,1,6,7,5,4,0,4,5,26
Stephen Curry,2/15/17,W,30,13,4,14,28.6,2,8,25,3,4,75,0,6,6,9,0,2,3,2,23
Stephen Curry,2/13/17,L,27,11,4,18,22.2,1,11,9.1,2,2,100,1,1,2,5,1,0,1,1,-24
Stephen Curry,2/11/17,W,34,26,9,19,47.4,4,11,36.4,4,4,100,3,5,8,9,2,0,0,2,16
Stephen Curry,2/10/17,W,35,18,6,13,46.2,2,6,33.3,4,5,80,0,4,4,5,0,0,3,3,15
Stephen Curry,2/8/17,W,28,13,5,11,45.5,1,4,25,2,2,100,0,1,1,6,1,0,2,4,20
Stephen Curry,2/4/17,L,42,35,11,20,55,8,14,57.1,5,6,83.3,0,4,4,9,3,0,3,2,4
Stephen Curry,2/2/17,W,37,29,11,23,47.8,3,10,30,4,4,100,1,2,3,11,3,0,4,1,13
Stephen Curry,2/1/17,W,30,39,14,20,70,11,15,73.3,0,0,-,1,4,5,8,3,0,1,2,25
Stephen Curry,1/28/17,W,29,43,15,23,65.2,9,15,60,4,4,100,0,9,9,6,0,0,2,1,42
Stephen Curry,1/25/17,W,36,28,11,23,47.8,6,12,50,0,0,-,0,2,2,7,1,1,4,2,0
Stephen Curry,1/23/17,L,37,21,7,19,36.8,3,9,33.3,4,5,80,0,9,9,8,0,1,4,2,1
Stephen Curry,1/22/17,W,30,27,8,15,53.3,7,13,53.8,4,4,100,1,3,4,6,0,0,3,2,32
Stephen Curry,1/20/17,W,33,24,8,18,44.4,5,11,45.5,3,5,60,0,1,1,7,1,0,1,1,15
