color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Joseph Kosinski,539,124,364,1000,Tom Cruise,11000,89021735,Action|Adventure|Mystery|Sci-Fi,Morgan Freeman,OblivionåÊ,387436,22004,ZoÌÇ Bell,0,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,http://www.imdb.com/title/tt1483013/?ref_=fn_tt_tt_1,892,English,USA,PG-13,120000000,2013,10000,7,2.35,71000
Color,Tom Shadyac,191,101,293,1000,Steve Carell,11000,242589580,Comedy|Drama,Morgan Freeman,Bruce AlmightyåÊ,296904,21276,Lisa Ann Walter,1,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1,604,English,USA,PG-13,81000000,2003,7000,6.7,1.85,0
Color,Mimi Leder,125,120,75,3000,Jon Favreau,11000,140459099,Action|Drama|Romance|Sci-Fi|Thriller,Morgan Freeman,Deep ImpactåÊ,135601,22750,Robert Duvall,0,astronomer|comet|mission|president|secretary,http://www.imdb.com/title/tt0120647/?ref_=fn_tt_tt_1,493,English,USA,PG-13,75000000,1998,4000,6.1,2.35,0
Color,Louis Leterrier,384,125,255,963,Common,11000,117698894,Crime|Mystery|Thriller,Morgan Freeman,Now You See MeåÊ,447979,13312,Michael Kelly,6,bank|fbi|heist|interpol|magician,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,629,English,USA,PG-13,75000000,2013,988,7.3,2.35,105000
Color,Mikael Salomon,79,97,13,695,Minnie Driver,11000,19819494,Action|Crime|Drama|Thriller,Morgan Freeman,Hard RainåÊ,26893,13628,Randy Quaid,0,dam|flood|money|police|sheriff,http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1,126,English,USA,R,70000000,1998,893,5.8,2.35,815
Color,Phil Alden Robinson,176,124,31,497,Bruce McGill,11000,118471320,Action|Drama|Thriller,Morgan Freeman,The Sum of All FearsåÊ,86504,12556,Philip Baker Hall,0,analyst|cia|nuclear bomb|nuclear weapons|russia,http://www.imdb.com/title/tt0164184/?ref_=fn_tt_tt_1,568,English,USA,PG-13,68000000,2002,655,6.4,2.35,0
Color,Lawrence Kasdan,175,136,759,354,Michael O'Neill,11000,33685268,Drama|Horror|Sci-Fi|Thriller,Morgan Freeman,DreamcatcheråÊ,75573,12194,Reece Thompson,1,alien|friend|maine|military|woods,http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1,662,English,USA,R,68000000,2003,599,5.5,2.35,4000
Color,Phil Lord,435,100,97,2000,Will Ferrell,11000,257756197,Action|Adventure|Animation|Comedy|Family|Fantasy,Morgan Freeman,The Lego MovieåÊ,246698,22128,Alison Brie,0,based on toy|dual personality|evil businessman|good cop bad cop|lego,http://www.imdb.com/title/tt1490017/?ref_=fn_tt_tt_1,471,English,Australia,PG,60000000,2014,8000,7.8,2.35,64000
Color,George Armitage,75,88,5,338,Andrew Wilson,11000,6471394,Comedy|Crime,Morgan Freeman,The Big BounceåÊ,15880,11972,Willie Nelson,5,breasts|consensual sex|female nudity|judge|surfer,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,93,English,USA,PG-13,50000000,2004,387,4.9,2.35,288
Color,Rob Reiner,207,97,0,760,Noel Gugliemi,11000,93452056,Adventure|Comedy|Drama,Morgan Freeman,The Bucket ListåÊ,184795,14868,Sean Hayes,1,billionaire|friend|hospital|list|mechanic,http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1,310,English,USA,PG-13,45000000,2007,2000,7.4,1.85,22000
Color,Louis Leterrier,177,103,255,5000,Jet Li,11000,24520892,Action|Crime|Drama|Thriller,Morgan Freeman,UnleashedåÊ,85198,22383,Bob Hoskins,1,collar|dog|fight|fighting|piano,http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,303,English,France,R,45000000,2005,5000,7,2.35,0
Color,Carl Franklin,114,115,73,505,Adam Scott,11000,41543207,Crime|Drama|Mystery|Thriller,Morgan Freeman,High CrimesåÊ,30077,15571,Bruce Davison,1,defense lawyer|lawyer|marine|murder|villager,http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,175,English,USA,PG-13,42000000,2002,3000,6.3,2.35,893
Color,Charles Martin Smith,131,113,188,631,Michael Roark,11000,72279690,Drama|Family,Morgan Freeman,Dolphin TaleåÊ,17948,14209,Harry Connick Jr.,5,boy|dolphin|prosthetics|tail|trap,http://www.imdb.com/title/tt1564349/?ref_=fn_tt_tt_1,86,English,USA,PG,37000000,2011,680,6.9,1.85,0
Color,Charles Martin Smith,54,107,188,631,Taylor Blackwell,11000,42019483,Drama|Family,Morgan Freeman,Dolphin Tale 2åÊ,6069,13904,Harry Connick Jr.,0,dolphin|latex gloves|medical scrubs|purple gloves|turtle,http://www.imdb.com/title/tt2978462/?ref_=fn_tt_tt_1,33,English,USA,PG,36000000,2014,641,6.4,1.85,0
Color,David Fincher,216,127,21000,360,Brad Pitt,11000,100125340,Crime|Drama|Mystery|Thriller,Morgan Freeman,Se7enåÊ,1023511,22678,Reg E. Cathey,0,detective|police partner|serial killer|serial murder|seven deadly sins,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,1080,English,USA,R,33000000,1995,11000,8.6,2.35,39000
Color,Lasse HallstrÌ¦m,107,108,529,83,Camryn Manheim,11000,8535575,Drama,Morgan Freeman,An Unfinished LifeåÊ,24033,11519,Lynda Boyd,3,abusive boyfriend|bear|car accident|ranch|wyoming,http://www.imdb.com/title/tt0350261/?ref_=fn_tt_tt_1,152,English,USA,PG-13,30000000,2005,329,7,2.35,0
Color,Lee Tamahori,133,104,93,878,Billy Burke,11000,74058698,Crime|Drama|Thriller,Morgan Freeman,Along Came a SpideråÊ,59232,17109,Monica Potter,0,kidnapping|partner|ransom|school|secret service,http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1,317,English,USA,R,60000000,2001,2000,6.3,2.35,0
Color,Gary Fleder,83,115,39,685,Tony Goldwyn,11000,60491560,Crime|Drama|Mystery|Thriller,Morgan Freeman,Kiss the GirlsåÊ,50653,14322,Tatyana Ali,1,detective|kidnapping|punching a heavy bag|serial killer|tied to a tree,http://www.imdb.com/title/tt0119468/?ref_=fn_tt_tt_1,143,English,USA,R,27000000,1997,956,6.6,2.35,0
Color,Frank Darabont,199,142,0,461,Jeffrey DeMunn,11000,28341469,Crime|Drama,Morgan Freeman,The Shawshank RedemptionåÊ,1689764,13495,Bob Gunton,0,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,4144,English,USA,R,25000000,1994,745,9.3,1.85,108000
Color,Neil LaBute,156,110,119,265,Pruitt Taylor Vince,11000,25167270,Comedy|Crime|Drama,Morgan Freeman,Nurse BettyåÊ,30119,12254,Kathleen Wilhoite,4,hospital|kansas city|obsession|salesman|soap opera,http://www.imdb.com/title/tt0171580/?ref_=fn_tt_tt_1,263,English,Germany,R,24000000,2000,592,6.3,2.35,455
Color,Bruce Beresford,61,99,78,325,Jessica Tandy,11000,106593296,Comedy|Drama|Family,Morgan Freeman,Driving Miss DaisyåÊ,72324,12619,Patti LuPone,1,1950s|african american|jewish|old age|widow,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,134,English,USA,PG,7500000,1989,509,7.4,1.85,3000
Color,Luc Jacquet,169,80,10,34,Sofie GrÌ´bÌül,11000,77413017,Documentary,Morgan Freeman,March of the PenguinsåÊ,45984,11218,Romane Bohringer,0,chick|emperor penguin|journey|ocean|penguin,http://www.imdb.com/title/tt0428803/?ref_=fn_tt_tt_1,331,French,France,G,8000000,2005,108,7.6,1.85,0
