Name,Position,Height
Adam_Donachie,Catcher,74
Paul_Bako,Catcher,74
Ramon_Hernandez,Catcher,72
Kevin_Millar,First_Baseman,72
Chris_Gomez,First_Baseman,73
Brian_Roberts,Second_Baseman,69
Miguel_Tejada,Shortstop,69
Melvin_Mora,Third_Baseman,71
Aubrey_Huff,Third_Baseman,76
Adam_Stern,Outfielder,71
Jeff_Fiorentino,Outfielder,73
Freddie_Bynum,Outfielder,73
Nick_Markakis,Outfielder,74
Brandon_Fahey,Outfielder,74
Corey_Patterson,Outfielder,69
Jay_Payton,Outfielder,70
Jay_Gibbons,Designated_Hitter,72
Erik_Bedard,Starting_Pitcher,73
Hayden_Penn,Starting_Pitcher,75
Adam_Loewen,Starting_Pitcher,78
Daniel_Cabrera,Starting_Pitcher,79
Steve_Trachsel,Starting_Pitcher,76
Jaret_Wright,Starting_Pitcher,74
Kris_Benson,Starting_Pitcher,76
Scott_Williamson,Relief_Pitcher,72
John_Parrish,Relief_Pitcher,71
Danys_Baez,Relief_Pitcher,75
Chad_Bradford,Relief_Pitcher,77
Jamie_Walker,Relief_Pitcher,74
Brian_Burres,Relief_Pitcher,73
Kurt_Birkins,Relief_Pitcher,74
James_Hoey,Relief_Pitcher,78
Sendy_Rleal,Relief_Pitcher,73
Chris_Ray,Relief_Pitcher,75
Jeremy_Guthrie,Relief_Pitcher,73
A.J._Pierzynski,Catcher,75
Toby_Hall,Catcher,75
Paul_Konerko,First_Baseman,74
Tadahito_Iguchi,Second_Baseman,69
Juan_Uribe,Shortstop,71
Alex_Cintron,Shortstop,74
Joe_Crede,Third_Baseman,73
Josh_Fields,Third_Baseman,73
Ryan_Sweeney,Outfielder,76
Brian_N._Anderson,Outfielder,74
Luis_Terrero,Outfielder,74
Pablo_Ozuna,Outfielder,70
Scott_Podsednik,Outfielder,72
Jermaine_Dye,Outfielder,77
Darin_Erstad,Outfielder,74
Rob_Mackowiak,Outfielder,70
Jim_Thome,Designated_Hitter,76
Jerry_Owens,Designated_Hitter,75
Charlie_Haeger,Starting_Pitcher,73
Heath_Phillips,Starting_Pitcher,75
Gavin_Floyd,Starting_Pitcher,76
Jose_Contreras,Starting_Pitcher,76
Jon_Garland,Starting_Pitcher,78
Javier_Vazquez,Starting_Pitcher,74
Mark_Buehrle,Starting_Pitcher,74
Mike_MacDougal,Relief_Pitcher,76
David_Aardsma,Relief_Pitcher,77
Andrew_Sisco,Relief_Pitcher,81
Matt_Thornton,Relief_Pitcher,78
Bobby_Jenks,Relief_Pitcher,75
Boone_Logan,Relief_Pitcher,77
Sean_Tracey,Relief_Pitcher,75
Nick_Masset,Relief_Pitcher,76
Jose_Molina,Catcher,74
Jeff_Mathis,Catcher,72
Mike_Napoli,Catcher,72
Casey_Kotchman,First_Baseman,75
Kendry_Morales,First_Baseman,73
Shea_Hillenbrand,First_Baseman,73
Robb_Quinlan,First_Baseman,73
Howie_Kendrick,First_Baseman,70
Orlando_Cabrera,Shortstop,70
Erick_Aybar,Shortstop,70
Dallas_McPherson,Third_Baseman,76
Maicer_Izturis,Third_Baseman,68
Reggie_Willits,Outfielder,71
Tommy_Murphy,Outfielder,72
Terry_Evans,Outfielder,75
Gary_Matthews_Jr.,Outfielder,75
Garret_Anderson,Outfielder,75
Vladimir_Guerrero,Outfielder,75
Chone_Figgins,Outfielder,68
Juan_Rivera,Outfielder,74
John_Lackey,Starting_Pitcher,78
Bartolo_Colon,Starting_Pitcher,71
Kelvim_Escobar,Starting_Pitcher,73
Dustin_Moseley,Starting_Pitcher,76
Ervin_Santana,Starting_Pitcher,74
Joe_Saunders,Starting_Pitcher,74
Jered_Weaver,Starting_Pitcher,79
Chris_Resop,Relief_Pitcher,75
Phil_Seibel,Relief_Pitcher,73
Justin_Speier,Relief_Pitcher,76
Darren_Oliver,Relief_Pitcher,74
Hector_Carrasco,Relief_Pitcher,74
Scot_Shields,Relief_Pitcher,73
Francisco_Rodriguez,Relief_Pitcher,72
Greg_Jones,Relief_Pitcher,74
Doug_Mirabelli,Catcher,73
Jason_Varitek,Catcher,74
George_Kottaras,Catcher,72
Kevin_Youkilis,First_Baseman,73
Dustin_Pedroia,Second_Baseman,69
Alex_Cora,Shortstop,72
Julio_Lugo,Shortstop,73
Mike_Lowell,Third_Baseman,75
Wily_Mo_Pe?a,Outfielder,75
J.D._Drew,Outfielder,73
Manny_Ramirez,Outfielder,72
Brandon_Moss,Outfielder,72
David_Murphy,Outfielder,76
Eric_Hinske,Outfielder,74
Coco_Crisp,Outfielder,72
David_Ortiz,Designated_Hitter,76
Curt_Schilling,Starting_Pitcher,77
Tim_Wakefield,Starting_Pitcher,74
Josh_Beckett,Starting_Pitcher,77
Matt_Clement,Starting_Pitcher,75
Jonathan_Papelbon,Starting_Pitcher,76
Kyle_Snyder,Starting_Pitcher,80
Devern_Hansack,Starting_Pitcher,74
Jon_Lester,Starting_Pitcher,74
Kason_Gabbard,Starting_Pitcher,75
Craig_Hansen,Relief_Pitcher,78
Hideki_Okajima,Relief_Pitcher,73
Craig_Breslow,Relief_Pitcher,73
Manny_Delcarmen,Relief_Pitcher,74
Brendan_Donnelly,Relief_Pitcher,75
Javier_Lopez,Relief_Pitcher,76
J.C._Romero,Relief_Pitcher,71
Joel_Pineiro,Relief_Pitcher,73
Julian_Tavarez,Relief_Pitcher,74
Mike_Timlin,Relief_Pitcher,76
Nick_DeBarr,Relief_Pitcher,76
Victor_Martinez,Catcher,74
Kelly_Shoppach,Catcher,73
Ryan_Garko,First_Baseman,74
Joe_Inglett,Second_Baseman,70
Josh_Barfield,Second_Baseman,72
Hector_Luna,Second_Baseman,73
Jhonny_Peralta,Shortstop,73
Andy_Marte,Third_Baseman,73
Ben_Francisco,Outfielder,73
Shin-Soo_Choo,Outfielder,71
Franklin_Gutierrez,Outfielder,74
Grady_Sizemore,Outfielder,74
Jason_Michaels,Outfielder,72
